"Category","RRF Loans disbursed","RRF Grants disbursed"
"Green transition",34739498659.51688,38550635420.02491
"Digital transformation",19279224265.883736,27597930992.188
"Smart, sustainable and inclusive growth including economic cohesion, jobs, productivity, competitiveness, research, development and innovation, and a well-functioning internal market with strong SMEs",46884937291.67309,53735525750.07761
"Social and territorial cohesion",28593794216.911385,41056573675.84362
"Health, and economic, social and institutional resilience, including with a view of increasing crisis reaction capacity and crisis preparedness",16065399325.68307,55084285130.93303
"Policies for the next generation, children and youth, including education and skill",2275237419.3312936,12399782178.933203
